,Unnamed: 0,stock_ticker_symbol,market_capital
0,0,RS1.L,3723187712.0
1,1,KE,595865984.0
2,2,TEG.DE,2539239168.0
3,3,LEG.DE,6009704448.0
4,4,SCS,1588731392.0
5,5,HNI,2324179456.0
6,6,AVT,4910356480.0
7,7,ACCO,478198464.0
8,8,BRNK.DE,
9,9,VNA.DE,23204454400.0
10,10,7912.T,1255894548480.0
11,11,KEYS,25412880384.0
12,12,SGRO.L,12590565376.0
13,13,CBRE,30044205056.0
14,14,BRC,3316973824.0
15,15,PGRE,1260408064.0
16,16,PSON.L,6711785984.0
17,17,BBOX.L,4016220672.0
18,18,REL.L,65004974080.0
19,19,TMV.DE,1888384256.0
20,20,BHE,1508877184.0
21,21,PLXS,3269281792.0
22,22,GPE.L,1396265472.0
23,23,HAS,8446234624.0
24,24,CHGG,361848192.0
25,25,JLL,10937013248.0
26,26,LAND.L,4789668352.0
27,27,OLED,10669143040.0
28,28,CDW,31849637888.0
29,29,FLEX,12374888448.0
30,30,REZI,3218721792.0
31,31,TPL,18817611776.0
32,32,ARW,6705903104.0
33,33,FN,9135338496.0
34,34,NOVT,6537356288.0
35,35,RYN,4468653056.0
36,36,SNX,10059460608.0
37,37,7911.T,1409774911488.0
38,38,CMPR,2445576960.0
39,39,DLAR.L,188487536.0
40,40,2379.T,163799728128.0
41,41,6754.T,167266779136.0
42,42,SHA.DE,3563099904.0
43,43,TTMI,2189201664.0
44,44,3234.T,253913726976.0
45,45,PBI,1266435072.0
46,46,BYG.L,2389994496.0
47,47,ASGN,4752027136.0
48,48,COA.L,1400687104.0
49,49,HOUS,514425408.0
50,50,VVV,6074224640.0
51,51,PAGE.L,1368714752.0
52,52,DB1.DE,35254579200.0
53,53,AVB,29576110080.0
54,54,3309.T,354899886080.0
55,55,STWD,6635771904.0
56,56,GROW.L,684123392.0
57,57,MTO.L,1508880000.0
58,58,KFY,3712043264.0
59,59,MEI,492068896.0
60,60,BLND.L,3832082688.0
61,61,RGLD,9175026688.0
62,62,KFRC,1313108736.0
63,63,IWG.L,1736609152.0
64,64,8954.T,439392010240.0
65,65,ZIL2.DE,316800000.0
66,66,SANM,4024267776.0
67,67,SXS.L,3119840000.0
68,68,YETI,3395049472.0
69,69,ACN,203950637056.0
70,70,HPP,1576596096.0
71,71,7893.T,33569976320.0
72,72,SVS.L,1657687680.0
73,73,AGNC,7545523200.0
74,74,CTS,1640370048.0
75,75,IPG,11398205440.0
76,76,BMI,5786443776.0
77,77,FUTR.L,1225886976.0
78,78,EBOX.L,281958880.0
79,79,SCSC,1169486464.0
80,80,MAN,3539107840.0
81,81,7994.T,210581913600.0
82,82,3283.T,717673922560.0
83,83,PDM,1038206592.0
84,84,III.L,29586964480.0
85,85,NBS.L,1199587712.0
86,86,DSCV.L,702291776.0
87,87,6183.T,110527610880.0
88,88,KELYA,798385984.0
89,89,6724.T,895676383232.0
90,90,4384.T,62699929600.0
91,91,ST,6287323648.0
92,92,BRBY.L,2637743872.0
93,93,7984.T,300171427840.0
94,94,CCK,9423876096.0
95,95,APTV,19700011008.0
96,96,STEM.L,566434112.0
97,97,UU.L,6910935040.0
98,98,ITRI,4721796096.0
99,99,6287.T,72365277184.0
100,100,INF.L,11354112000.0
101,101,4218.T,39136124928.0
102,102,HMSO.L,1438902528.0
103,103,WDC,23441229824.0
104,104,7313.T,253278257152.0
105,105,EBF,614781440.0
106,106,TNET,5545837568.0
107,107,6098.T,14333177233408.0
108,108,MLKN,2106897152.0
109,109,HLMA.L,9904957440.0
110,110,SKG.L,
111,111,WPP.L,7831028224.0
112,112,JBL,13037099008.0
113,113,3279.T,294267387904.0
114,114,JEN.DE,1583205888.0
115,115,LXP,2989778176.0
116,116,TRMB,14200695808.0
117,117,WKP.L,1192338688.0
118,118,6028.T,299320049664.0
119,119,NLY,10218984448.0
120,120,KGF.L,5000485376.0
121,121,RMAX,310041376.0
122,122,7951.T,591701147648.0
123,123,7846.T,176294379520.0
124,124,SBAC,23016439808.0
125,125,KRG,5307057152.0
126,126,ATR,9598945280.0
127,127,ELME,1436226816.0
128,128,DNLM.L,2236332032.0
129,129,BDEV.L,4805713408.0
130,130,TEP.L,1403660032.0
131,131,ESRT,3041242624.0
132,132,CGNX,8880074752.0
133,133,ZBRA,16757068800.0
134,134,DLX,1062825088.0
135,135,BWA,7787503104.0
136,136,ELV,121073508352.0
137,137,NYT,8756133888.0
138,138,SNWS.L,141303248.0
139,139,INS.DE,395535328.0
140,140,INCH.L,3419591680.0
141,141,NWSA,16082940928.0
142,142,AT1.DE,2299966720.0
143,143,MKSI,8908924928.0
144,144,7914.T,29752397824.0
145,145,MMI,1461554688.0
146,146,EXPN.L,32063787008.0
147,147,GRI.L,1815767808.0
148,148,SNBR,243805376.0
149,149,SMWH.L,1620690560.0
150,150,IR,39565279232.0
151,151,ITV.L,3299851264.0
152,152,LAD,7383037440.0
153,153,HSII,702217984.0
154,154,CUZ,3791778048.0
155,155,LIN,215980900352.0
156,156,PHP.L,1277529984.0
157,157,NL,325719456.0
158,158,BALL,19218604032.0
159,159,2146.T,134183632896.0
160,160,DHR,186097598464.0
161,161,KIM,14540681216.0
162,162,8057.T,78156750848.0
163,163,6841.T,1052050653184.0
164,164,MAC,3617888000.0
165,165,ECOR.L,159232096.0
166,166,SWBI,708905856.0
167,167,8151.T,37097984000.0
168,168,CNNE,1211507328.0
169,169,PLD,114073231360.0
170,170,REXR,11097714688.0
171,171,IPGP,4121643520.0
172,172,RHI,7072484352.0
173,173,6845.T,607868157952.0
174,174,7868.T,81987780608.0
175,175,CDP,3063115776.0
176,176,AAP,3842061056.0
177,177,HEAD.L,115521560.0
178,178,GOLF,4280534016.0
179,179,HAS.L,1482655360.0
180,180,LSL.L,340696896.0
181,181,7272.T,1527618863104.0
182,182,RCH.L,317723968.0
183,183,ATGE,2934435072.0
184,184,7701.T,1262294269952.0
185,185,SAP.DE,213906554880.0
186,186,GWI.L,675929536.0
187,187,POOL,12894957568.0
188,188,AZO,50976956416.0
189,189,ZWS,5431320576.0
190,190,GTX,2201142528.0
191,191,LKQ,12279699456.0
192,192,2154.T,189853040640.0
193,193,MIDW.L,377384032.0
194,194,HPQ,37292920832.0
195,195,AZEK,6420298240.0
196,196,ADV.DE,1004651840.0
197,197,VRE,1605078400.0
198,198,NSIT,7186367488.0
199,199,KMX,12938949632.0
200,200,OXIG.L,1456700672.0
201,201,CDNS,78490517504.0
202,202,CAH,23375126528.0
203,203,VNT,6313415680.0
204,204,VTR,21627076608.0
205,205,QUAD,323574976.0
206,206,COR,44340531200.0
207,207,REG,12334930944.0
208,208,7976.T,148735606784.0
209,209,API.L,205858256.0
210,210,STAA,2173068544.0
211,211,JOUT,399072384.0
212,212,PNN.L,1847818368.0
213,213,ENR.DE,20100831232.0
214,214,WSM,19302688768.0
215,215,WIX.L,340452992.0
216,216,A,38950092800.0
217,217,EQR,26402977792.0
218,218,PFG,20499224576.0
