,company_name,company_esg_score,company_esg_score_group,industry,stock_exchange,stock_ticker_symbol,market_capital,market_capital_euro,trailing_pe,beta,return_on_equity,earnings_growth,company_esg_score_scale,market_capital_scale,score,return_rate_1y_avg,return_rate_5y_avg,return_rate_10y_avg,return_rate_25y_avg,volatility_1y,volatility_5y,volatility_10y,volatility_25y
0,RS Group Plc,4.5,Negligible ESG Risk,Technology Hardware,LON,RS1.L,3668790784.0,4365861032.96,19.858974,0.863,0.13226,-0.368,0.0,0.0002734015210529,0.0002050511407897,,,,,,,,
1,"Kimball Electronics, Inc.",4.5,Negligible ESG Risk,Technology Hardware,NAS,KE,428135136.0,393884325.12,21.370369,1.258,0.038540002,,0.0,2.4479591492245154e-05,1.8359693619183867e-05,0.8813841686113812,1.1145182516887349,1.077999193748039,1.030498524820093,0.07889185208822454,0.12254092845301932,0.10861699269102447,0.10861699269102447
2,TAG Immobilien AG,4.6,Negligible ESG Risk,Real Estate,ETR,TEG.DE,2765612288.0,2765612288.0,,1.037,-0.03766,,0.0064516129032258,0.0001731146778329,0.0017427392341811,,,,,,,,
3,LEG Immobilien SE,5.1,Negligible ESG Risk,Real Estate,ETR,LEG.DE,6927171072.0,6927171072.0,,0.957,-0.08126,,0.0387096774193548,0.0004339176277719,0.0100028575756676,,,,,,,,
4,"Steelcase, Inc.",5.3,Negligible ESG Risk,Commercial Services,NYS,SCS,1492859648.0,1373430876.16,17.210526,1.314,0.10633001,8.0,0.0516129032258064,8.586731743185966e-05,0.0129676262945255,1.2991052890754768,0.9917197988407561,1.0254786876241884,1.0366776907917588,0.09358276299019377,0.11976413712726153,0.10912628941091802,0.10626893091984217
5,HNI Corp.,5.4,Negligible ESG Risk,Commercial Services,NYS,HNI,2363068160.0,2174022707.2000003,20.295547,0.829,0.15192,,0.0580645161290322,0.0001360400344519,0.014618159058097,1.5912761980850378,1.1272907001213597,1.0766449190009633,1.0746791413406112,0.09260279811611129,0.0875172917313864,0.09277723318785597,0.10194121704972607
6,"Avnet, Inc.",5.6,Negligible ESG Risk,Technology Hardware,NAS,AVT,4396813824.0,4045068718.08,9.189688,1.171,0.10307,-0.46,0.0709677419354838,0.0002532976161507,0.017931908695984,1.1161453609107472,1.0536024934210486,1.0450474663965859,1.0504452523556613,0.06620977646794839,0.09309721933191284,0.08146135753889881,0.10683651280144046
7,ACCO Brands Corp.,5.7,Negligible ESG Risk,Commercial Services,NYS,ACCO,502938464.0,462703386.88,,1.602,-0.24318,,0.0774193548387097,2.8792450026899692e-05,0.0193764330471976,0.9418354833502349,0.9201655436811809,0.996881200778366,0.9428060860543681,0.08891542542287131,0.13611100034212387,0.12245359905148248,0.24999338740240923
8,Branicks Group AG,5.8,Negligible ESG Risk,Real Estate,ETR,BRNK.DE,,,,,,,0.0838709677419354,,,,,,,,,,
9,Vonovia SE,6.0,Negligible ESG Risk,Real Estate,ETR,VNA.DE,26973120512.0,26973120512.0,,1.042,-0.09992,,0.0967741935483871,0.0016901879388823,0.0254611893412585,,,,,,,,
10,"Dai Nippon Printing Co., Ltd.",6.1,Negligible ESG Risk,Commercial Services,TKS,7912.T,1222489931776.0,1454763018813.44,10.515173,0.45,0.09698,0.188,0.1032258064516128,0.0911691155949705,0.0941832883091311,,,,,,,,
11,"Keysight Technologies, Inc.",6.2,Negligible ESG Risk,Technology Hardware,NYS,KEYS,25306042368.0,23281558978.56,28.09634,0.974,0.18031,0.379,0.1096774193548387,0.0014588394976434,0.0285134844619422,1.044765145776438,1.0783373456871654,1.1451408757568404,1.0557074025942093,0.07778198004463929,0.08304313473828802,0.08062388693636048,0.08062388693636048
