,stock_ticker_symbol,market_capital,trailing_pe,beta,return_on_equity,earnings_growth
0,RS1.L,3668790784,19.858974,0.863,0.13226,-0.368
1,KE,428135136,21.370369,1.258,0.038540002,N/A
2,TEG.DE,2765612288,N/A,1.037,-0.03766,N/A
3,LEG.DE,6927171072,N/A,0.957,-0.08126,N/A
4,SCS,1492859648,17.210526,1.314,0.10633001,8.0
5,HNI,2363068160,20.295547,0.829,0.15192,N/A
6,AVT,4396813824,9.189688,1.171,0.10307,-0.46
7,ACCO,502938464,N/A,1.602,-0.24318,N/A
8,BRNK.DE,N/A,N/A,N/A,N/A,N/A
9,VNA.DE,26973120512,N/A,1.042,-0.09992,N/A
10,7912.T,1222489931776,10.515173,0.45,0.09698,0.188
11,KEYS,25306042368,28.09634,0.974,0.18031,0.379
12,SGRO.L,11925198848,N/A,0.785,-0.00087,N/A
13,CBRE,35319238656,38.677853,1.4,0.10905,-0.344
14,BRC,3457950976,17.855036,0.75,0.1917,0.154
15,PGRE,1147405184,N/A,1.274,-0.067329995,N/A
16,PSON.L,7028418560,21.17,0.307,0.08776,-0.12
17,BBOX.L,4023662592,23.171429,N/A,N/A,N/A
18,REL.L,66659176448,35.84,0.478,0.5912,0.132
19,TMV.DE,1845065472,18.11111,0.756,1.37155,-0.183
20,BHE,1407043072,20.951612,0.987,0.063,0.103
21,PLXS,3348822528,30.982368,0.889,0.09047,0.625
22,GPE.L,1416530432,N/A,0.797,-0.17581,N/A
23,HAS,9428096000,N/A,0.596,-0.56743,N/A
24,CHGG,186606000,N/A,1.319,-0.89528,N/A
25,JLL,11940569088,31.68388,1.372,0.060170002,34.0
26,LAND.L,4871829504,N/A,1.441,-0.05045,N/A
27,OLED,9027288064,40.911827,1.421,0.15542,0.057
28,CDW,28603965440,26.274847,1.033,0.58541,0.078
29,FLEX,11419762688,14.38,1.085,0.16027,-0.171
30,REZI,2636880128,15.2627125,2.071,0.05895,-0.441
31,TPL,18189604864,40.800003,1.625,0.4276,0.145
32,ARW,6667792896,11.836466,1.265,0.10271,-0.512
33,FN,7588817920,25.948084,0.954,0.18428,0.338
34,NOVT,6032965632,97.69186,1.287,0.09362,-0.345
35,RYN,4569562624,29.960396,1.055,0.08287,-0.922
36,SNX,9467225088,15.515407,1.404,0.0792,0.175
37,7911.T,1313461764096,17.856844,0.619,0.05697,0.079
38,CMPR,2115328128,13.124417,2.041,N/A,2.983
39,DLAR.L,182315328,N/A,1.369,-1.5158701,N/A
40,2379.T,150857236480,16.234947,0.949,0.25912002,0.336
