,Unnamed: 0,company_name,company_esg_score,company_esg_score_group,industry,stock_exchange,stock_ticker_symbol,market_capital,market_capital_euro,trailing_pe,beta,return_on_equity,earnings_growth
0,3498,RS Group Plc,4.5,Negligible ESG Risk,Technology Hardware,LON,RS1.L,3668790784,4365861032.96,19.858974,0.863,0.13226,-0.368
1,3486,"Kimball Electronics, Inc.",4.5,Negligible ESG Risk,Technology Hardware,NAS,KE,428135136,393884325.12,21.370369,1.258,0.038540002,
2,2100,TAG Immobilien AG,4.6,Negligible ESG Risk,Real Estate,ETR,TEG.DE,2765612288,2765612288,,1.037,-0.03766,
3,2068,LEG Immobilien SE,5.1,Negligible ESG Risk,Real Estate,ETR,LEG.DE,6927171072,6927171072,,0.957,-0.08126,
4,521,"Steelcase, Inc.",5.3,Negligible ESG Risk,Commercial Services,NYS,SCS,1492859648,1373430876.16,17.210526,1.314,0.10633001,8.0
5,497,HNI Corp.,5.4,Negligible ESG Risk,Commercial Services,NYS,HNI,2363068160,2174022707.2000003,20.295547,0.829,0.15192,
6,3462,"Avnet, Inc.",5.6,Negligible ESG Risk,Technology Hardware,NAS,AVT,4396813824,4045068718.0800004,9.189688,1.171,0.10307,-0.46
7,480,ACCO Brands Corp.,5.7,Negligible ESG Risk,Commercial Services,NYS,ACCO,502938464,462703386.88,,1.602,-0.24318,
8,2020,Branicks Group AG,5.8,Negligible ESG Risk,Real Estate,ETR,BRNK.DE,N/A,N/A,,,,
9,2108,Vonovia SE,6.0,Negligible ESG Risk,Real Estate,ETR,VNA.DE,26973120512,26973120512,,1.042,-0.09992,
10,490,"Dai Nippon Printing Co., Ltd.",6.1,Negligible ESG Risk,Commercial Services,TKS,7912.T,1222489931776,1454763018813.44,10.515173,0.45,0.09698,0.188
11,3485,"Keysight Technologies, Inc.",6.2,Negligible ESG Risk,Technology Hardware,NYS,KEYS,25306042368,23281558978.56,28.09634,0.974,0.18031,0.379
12,2092,SEGRO PLC,6.2,Negligible ESG Risk,Real Estate,LON,SGRO.L,11925198848,14190986629.119999,,0.785,-0.00087,
13,2027,"CBRE Group, Inc.",6.3,Negligible ESG Risk,Real Estate,NYS,CBRE,35319238656,35319238656,38.677853,1.4,0.10905,-0.344
14,484,Brady Corp.,6.4,Negligible ESG Risk,Commercial Services,NYS,BRC,3457950976,3457950976,17.855036,0.75,0.1917,0.154
15,2082,"Paramount Group, Inc.",6.4,Negligible ESG Risk,Real Estate,NYS,PGRE,1147405184,1147405184,,1.274,-0.067329995,
16,1686,Pearson Plc,6.7,Negligible ESG Risk,Media,LON,PSON.L,7028418560,7028418560,21.17,0.307,0.08776,-0.12
17,2103,Tritax Big Box REIT Plc,6.8,Negligible ESG Risk,Real Estate,LON,BBOX.L,4023662592,4023662592,23.171429,,,
18,1688,RELX Plc,7.0,Negligible ESG Risk,Media,LON,REL.L,66659176448,66659176448,35.84,0.478,0.5912,0.132
19,3113,TeamViewer SE,7.0,Negligible ESG Risk,Software & Services,ETR,TMV.DE,1845065472,1845065472,18.11111,0.756,1.37155,-0.183
20,3465,"Benchmark Electronics, Inc.",7.1,Negligible ESG Risk,Technology Hardware,NYS,BHE,1407043072,1407043072,20.951612,0.987,0.063,0.103
21,3496,Plexus Corp.,7.2,Negligible ESG Risk,Technology Hardware,NAS,PLXS,3348822528,3348822528,30.982368,0.889,0.09047,0.625
22,2053,Great Portland Estates Plc,7.3,Negligible ESG Risk,Real Estate,LON,GPE.L,1416530432,1416530432,,0.797,-0.17581,
23,707,"Hasbro, Inc.",7.3,Negligible ESG Risk,Consumer Durables,NAS,HAS,9428096000,9428096000,,0.596,-0.56743,
24,820,"Chegg, Inc.",7.4,Negligible ESG Risk,Consumer Services,NYS,CHGG,186606000,186606000,,1.319,-0.89528,
25,2062,"Jones Lang LaSalle, Inc.",7.4,Negligible ESG Risk,Real Estate,NYS,JLL,11940569088,11940569088,31.68388,1.372,0.060170002,34.0
26,2067,Land Securities Group Plc,7.4,Negligible ESG Risk,Real Estate,LON,LAND.L,4871829504,4871829504,,1.441,-0.05045,
27,3507,Universal Display Corp.,7.4,Negligible ESG Risk,Technology Hardware,NAS,OLED,9027288064,9027288064,40.911827,1.421,0.15542,0.057
28,3466,CDW Corp.,7.5,Negligible ESG Risk,Technology Hardware,NAS,CDW,28603965440,28603965440,26.274847,1.033,0.58541,0.078
