,company_name,company_esg_score,company_esg_score_group,industry,stock_exchange,stock_ticker_symbol,market_capital,market_capital_euro,company_esg_score_scale,market_capital_scale,score
560,"Apple, Inc.",16.8,Low ESG Risk,Technology Hardware,NAS,AAPL,3509668806656.0,3228895302123.52,0.7935483870967743,1.0000000000000002,0.9483870967741939
282,Microsoft Corp.,14.2,Low ESG Risk,Software & Services,NAS,MSFT,3296377962496.0,3032667725496.3203,0.6258064516129032,0.9392270177105023,0.8608718761861025
217,NVIDIA Corp.,13.2,Low ESG Risk,Semiconductors,NAS,NVDA,2902353510400.0,2670165229568.0,0.5612903225806452,0.8269575898165594,0.7605407730075808
821,Broadcom Inc.,18.9,Low ESG Risk,Semiconductors,NAS,AVGO,726068101120.0,667982653030.4,0.9290322580645161,0.20686836303356768,0.38740933679130474
584,"UnitedHealth Group, Inc.",17.0,Low ESG Risk,Healthcare,NYS,UNH,527638364160.0,485427295027.2,0.8064516129032258,0.1503297575558116,0.3143602213926652
349,"Visa, Inc.",15.0,Low ESG Risk,Software & Services,NYS,V,557971472384.0,513333754593.28,0.6774193548387097,0.15897257321975883,0.28858426862449654
958,Union Pacific Corp.,20.0,Low ESG Risk,Transportation,NYS,UNP,148802650112.0,136898438103.04001,1.0,0.042388058365021686,0.2817910437737663
939,Progressive Corp.,19.8,Low ESG Risk,Insurance,NYS,PGR,129644691456.0,119273116139.52,0.9870967741935484,0.036929379223451825,0.27447122796597595
895,"Intuitive Surgical, Inc.",19.5,Low ESG Risk,Healthcare,NAS,ISRG,151186341888.0,139091434536.96,0.967741935483871,0.04306724390932849,0.2742359168029641
411,"Mastercard, Inc.",15.6,Low ESG Risk,Software & Services,NYS,MA,419405103104.0,385852694855.68,0.7161290322580645,0.11949084328738357,0.2686503905300538
805,"Verizon Communications, Inc.",18.8,Low ESG Risk,Telecommunication Services,NYS,VZ,176914776064.0,162761593978.88,0.9225806451612903,0.05039804932046762,0.26844369828067327
871,"Vertex Pharmaceuticals, Inc.",19.3,Low ESG Risk,Pharmaceuticals,NAS,VRTX,126025334784.0,115943308001.28,0.9548387096774194,0.035898115552509484,0.26563326408373694
725,American Express Co.,18.3,Low ESG Risk,Diversified Financials,NYS,AXP,179796983808.0,165413225103.36002,0.8903225806451613,0.0512192770711036,0.26099510296461803
801,"United Parcel Service, Inc.",18.8,Low ESG Risk,Transportation,NYS,UPS,126092288000.0,116004904960.0,0.9225806451612903,0.03591719253927006,0.25758305569477513
940,"Moderna, Inc.",19.8,Low ESG Risk,Pharmaceuticals,NAS,MRNA,47542837248.0,43739410268.16,0.9870967741935484,0.013536089411279708,0.25692626060684687
781,"Micron Technology, Inc.",18.6,Low ESG Risk,Semiconductors,NAS,MU,132506370048.0,121905860444.16,0.9096774193548387,0.03774475760068489,0.2557279230392233
879,SLB NV,19.4,Low ESG Risk,Energy Services,NYS,SLB,69894733824.0,64303155118.08,0.9612903225806451,0.019904817614778865,0.2552511938562454
876,"Roper Technologies, Inc.",19.4,Low ESG Risk,Software & Services,NAS,ROP,61151600640.0,56259472588.8,0.9612903225806451,0.017413635772264503,0.25338280747435965
795,"NIKE, Inc.",18.7,Low ESG Risk,Textiles & Apparel,NYS,NKE,110288936960.0,101465822003.2,0.9161290322580644,0.031414342092730585,0.25259301463406403
860,NXP Semiconductors NV,19.2,Low ESG Risk,Semiconductors,NAS,NXPI,70642933760.0,64991499059.200005,0.9483870967741934,0.020118002299937793,0.2521852759185017
891,"Super Micro Computer, Inc.",19.5,Low ESG Risk,Technology Hardware,NAS,SMCI,47800254464.0,43976234106.880005,0.967741935483871,0.013609435325262048,0.2521425603649143
932,LyondellBasell Industries NV,19.7,Low ESG Risk,Chemicals,NYS,LYB,32151916544.0,29579763220.48,0.9806451612903226,0.009150752783038863,0.2520243549098598
915,"Dow, Inc.",19.6,Low ESG Risk,Chemicals,NYS,DOW,38964645888.0,35847474216.96,0.9741935483870969,0.011091904459739387,0.25186731544157875
949,"Enphase Energy, Inc.",19.9,Low ESG Risk,Electrical Equipment,NAS,ENPH,15123403776.0,13913531473.92,0.9935483870967741,0.004298816878608563,0.25161120943314996
678,Pfizer Inc.,17.8,Low ESG Risk,Pharmaceuticals,NYS,PFE,170167713792.0,156554296688.64,0.8580645161290323,0.04847560816938472,0.2508728351592966
752,"BlackRock, Inc.",18.4,Low ESG Risk,Diversified Financials,NYS,BLK,124649545728.0,114677582069.76001,0.896774193548387,0.0355061118344706,0.2508231322629497
957,"NeoGenomics, Inc.",20.0,Low ESG Risk,Pharmaceuticals,NAS,NEO,1979536000.0,1821173120.0,1.0,0.0005537332735798538,0.2504152999551849
