,company_name,industry,stock_exchange,stock_ticker_symbol,market_capital_euro,score
0,"Kimball Electronics, Inc.",Technology Hardware,NAS,KE,548196705.28,0.00011961302459471463
1,"Steelcase, Inc.",Commercial Services,NYS,SCS,1461632880.64,0.013235011763599555
2,HNI Corp.,Commercial Services,NYS,HNI,2138245099.52,0.015005078459119187
3,"Avnet, Inc.",Technology Hardware,NAS,AVT,4517527961.6,0.018783544675955614
4,ACCO Brands Corp.,Commercial Services,NYS,ACCO,439942586.88,0.01944930647028822
5,"Keysight Technologies, Inc.",Technology Hardware,NYS,KEYS,23379849953.280003,0.03284230372336845
6,"CBRE Group, Inc.",Real Estate,NYS,CBRE,27640668651.52,0.03544490981257078
7,Brady Corp.,Commercial Services,NYS,BRC,3051615918.08,0.03134626846866101
8,"Paramount Group, Inc.",Real Estate,NYS,PGRE,1159575418.88,0.030906785347613708
9,"Benchmark Electronics, Inc.",Technology Hardware,NYS,BHE,1388167009.28,0.04225020517730645
10,Plexus Corp.,Technology Hardware,NAS,PLXS,3007739248.6400003,0.044239302603404335
11,"Hasbro, Inc.",Consumer Durables,NAS,HAS,7770535854.08,0.046958508108658446
12,"Chegg, Inc.",Consumer Services,NYS,CHGG,332900336.64,0.046843797537720645
13,"Jones Lang LaSalle, Inc.",Real Estate,NYS,JLL,10062052188.16,0.04910368469270336
14,Universal Display Corp.,Technology Hardware,NAS,OLED,9815611596.8,0.04904644147814773
15,CDW Corp.,Technology Hardware,NAS,CDW,29301666856.960003,0.05518556514493118
16,Flex Ltd.,Technology Hardware,NAS,FLEX,11384897372.16,0.05102385836561311
17,"Resideo Technologies, Inc.",Retailing,NYS,REZI,2961224048.6400003,0.04906720773130121
18,Texas Pacific Land Corp.,Oil & Gas Producers,NYS,TPL,17312202833.920002,0.05401355595963547
19,"Arrow Electronics, Inc.",Technology Hardware,NYS,ARW,6169430855.68,0.05303821638187301
20,Fabrinet,Technology Hardware,NYS,FN,8404511416.320001,0.0535573808400321
21,"Novanta, Inc.",Technology Hardware,NAS,NOVT,6014367784.96,0.05300219833558488
22,"Rayonier, Inc.",Real Estate,NYS,RYN,4111160811.52,0.05256012146617322
23,TD SYNNEX Corp.,Technology Hardware,NYS,SNX,9254703759.36,0.055367766722561655
24,Cimpress Plc,Commercial Services,NAS,CMPR,2249930803.2000003,0.05374069823100315
25,"TTM Technologies, Inc.",Technology Hardware,NAS,TTMI,2014065530.88,0.05529881467710288
26,"Pitney Bowes, Inc.",Commercial Services,NYS,PBI,1165120266.24,0.055101621691720136
27,ASGN Incorporated,Commercial Services,NYS,ASGN,4371864965.12,0.05745938749803772
28,"Anywhere Real Estate, Inc.",Real Estate,NYS,HOUS,473271375.36,0.05655382227401255
29,"Valvoline, Inc.",Retailing,NYS,VVV,5588286668.8,0.0577419379017257
30,"AvalonBay Communities, Inc.",Real Estate,NYS,AVB,27210021273.6,0.06437713711463804
31,"Starwood Property Trust, Inc.",Real Estate,NYS,STWD,6104910151.68,0.06108774564335242
32,Korn Ferry,Commercial Services,NYS,KFY,3415079802.88,0.062075855141287745
33,"Methode Electronics, Inc.",Technology Hardware,NYS,MEI,452703384.32,0.06138775441897437
34,"Royal Gold, Inc.",Precious Metals,NAS,RGLD,8441024552.96,0.06646908791697266
35,"Kforce, Inc.",Commercial Services,NYS,KFRC,1208060037.12,0.06640191832129891
36,Sanmina Corp.,Technology Hardware,NAS,SANM,3702326353.92,0.06698128644058278
37,"YETI Holdings, Inc.",Consumer Durables,NYS,YETI,3123445514.24,0.06684682401324858
