company_name,ticker_symbol,company_esg_score,company_esg_score_group,industry
HENSOLDT AG,ETR:HAG,14.9,Low ESG Risk,Aerospace & Defense
Aptiv Plc,NYS:APTV,9.1,Negligible ESG Risk,Auto Components
"BorgWarner, Inc.",NYS:BWA,10.0,Negligible ESG Risk,Auto Components
Bosch Fren Sistemleri Sanayi ve Ticaret AS,IST:BFREN.E,8.1,Negligible ESG Risk,Auto Components
Bosch Ltd.,BOM:500530,6.5,Negligible ESG Risk,Auto Components
Bulten AB,OME:BULTEN,6.1,Negligible ESG Risk,Auto Components
ElringKlinger AG,ETR:ZIL2,8.6,Negligible ESG Risk,Auto Components
Forvia SE,PAR:FRVIA,9.3,Negligible ESG Risk,Auto Components
Pirelli & C. SpA,MIL:PIRC,9.9,Negligible ESG Risk,Auto Components
Schaeffler AG,ETR:SHA,7.9,Negligible ESG Risk,Auto Components
Sogefi SpA,MIL:SGF,9.7,Negligible ESG Risk,Auto Components
"TS TECH CO., LTD.",TKS:7313,9.3,Negligible ESG Risk,Auto Components
Valeo SE,PAR:FR,8.5,Negligible ESG Risk,Auto Components
AB Dynamics Plc,LON:ABDP,15.4,Low ESG Risk,Auto Components
Actron Technology Corp.,ROCO:8255,13.5,Low ESG Risk,Auto Components
Adient plc,NYS:ADNT,13.0,Low ESG Risk,Auto Components
"American Axle & Manufacturing Holdings, Inc.",NYS:AXL,15.3,Low ESG Risk,Auto Components
Apollo Tyres Ltd.,BOM:500877,13.1,Low ESG Risk,Auto Components
"Autoliv, Inc.",NYS:ALV,12.0,Low ESG Risk,Auto Components
Autoneum Holding AG,SWX:AUTN,13.2,Low ESG Risk,Auto Components
Brembo NV,MIL:BRE,13.6,Low ESG Risk,Auto Components
Bridgestone Corp.,TKS:5108,11.7,Low ESG Risk,Auto Components
Brisa Bridgestone Sabanci Lastik Sanayi ve Ticaret AS,IST:BRISA.E,15.3,Low ESG Risk,Auto Components
CEAT Ltd.,BOM:500878,14.0,Low ESG Risk,Auto Components
"Cheng Shin Rubber Ind. Co., Ltd.",TAI:2105,18.5,Low ESG Risk,Auto Components
CIE Automotive SA,MCE:CIE,11.3,Low ESG Risk,Auto Components
Clarios Global LP,-,17.5,Low ESG Risk,Auto Components
Compagnie Générale des Établissements Michelin SCA,PAR:ML,10.1,Low ESG Risk,Auto Components
Continental AG,ETR:CON,17.5,Low ESG Risk,Auto Components
"Cooper-Standard Holdings, Inc.",NYS:CPS,16.0,Low ESG Risk,Auto Components
"Dana, Inc.",NYS:DAN,14.8,Low ESG Risk,Auto Components
DENSO Corp.,TKS:6902,16.2,Low ESG Risk,Auto Components
"Dorman Products, Inc.",NAS:DORM,15.9,Low ESG Risk,Auto Components
Ege Endüstri ve Ticaret AS,IST:EGEEN.E,16.6,Low ESG Risk,Auto Components
Endurance Technologies Ltd.,BOM:540153,13.2,Low ESG Risk,Auto Components
Exide Industries Ltd.,BOM:500086,14.3,Low ESG Risk,Auto Components
"F.C.C. Co., Ltd.",TKS:7296,16.2,Low ESG Risk,Auto Components
Federal Corp.,TAI:2102,15.2,Low ESG Risk,Auto Components
Feintool International Holding AG,SWX:FTON,17.7,Low ESG Risk,Auto Components
Fiem Industries Ltd.,BOM:532768,16.3,Low ESG Risk,Auto Components
Fox Factory Holding Corp.,NAS:FOXF,16.4,Low ESG Risk,Auto Components
Fras-Le SA,BSP:FRAS3,14.1,Low ESG Risk,Auto Components
"Futaba Industrial Co., Ltd.",TKS:7241,17.6,Low ESG Risk,Auto Components
G-Tekt Corp.,TKS:5970,15.4,Low ESG Risk,Auto Components
"Garrett Motion, Inc.",NAS:GTX,11.0,Low ESG Risk,Auto Components
Gentex Corp.,NAS:GNTX,17.5,Low ESG Risk,Auto Components
"Gentherm, Inc.",NAS:THRM,12.8,Low ESG Risk,Auto Components
Gestamp Automoción SA,MCE:GEST,11.5,Low ESG Risk,Auto Components
Goodyear Tire & Rubber Co.,NAS:GT,15.8,Low ESG Risk,Auto Components
Grupo Antolín-Irausa SA,-,13.6,Low ESG Risk,Auto Components
"HANKOOK TIRE & TECHNOLOGY Co., Ltd.",KRX:161390,16.6,Low ESG Risk,Auto Components
Hanon Systems,KRX:018880,12.0,Low ESG Risk,Auto Components
HELLA GmbH & Co. KGaA,ETR:HLE,11.7,Low ESG Risk,Auto Components
HL Holdings Corp.,KRX:060980,17.6,Low ESG Risk,Auto Components
"HL Mando Co., Ltd.",KRX:204320,12.3,Low ESG Risk,Auto Components
"Hota Industrial Manufacturing Co., Ltd.",TAI:1536,15.2,Low ESG Risk,Auto Components
Hu Lane Associate Inc.,ROCO:6279,12.0,Low ESG Risk,Auto Components
"Hyundai Mobis Co., Ltd.",KRX:012330,10.5,Low ESG Risk,Auto Components
Hyundai WIA Corp.,KRX:011210,15.3,Low ESG Risk,Auto Components
"Kenda Rubber Industrial Co., Ltd.",TAI:2106,18.6,Low ESG Risk,Auto Components
Kongsberg Automotive ASA,OSL:KOA,17.6,Low ESG Risk,Auto Components
"KUMHO TIRE Co., Inc.",KRX:073240,15.6,Low ESG Risk,Auto Components
LCI Industries,NYS:LCII,15.7,Low ESG Risk,Auto Components
Lear Corp.,NYS:LEA,11.6,Low ESG Risk,Auto Components
Linamar Corp.,TSE:LNR,18.8,Low ESG Risk,Auto Components
"Mabuchi Motor Co., Ltd.",TKS:6592,17.3,Low ESG Risk,Auto Components
"Magna International, Inc.",TSE:MG,16.7,Low ESG Risk,Auto Components
Mahle-Metal Leve SA,BSP:LEVE3,19.2,Low ESG Risk,Auto Components
Metalsa SA de CV,-,18.3,Low ESG Risk,Auto Components
Minda Corp. Ltd.,BOM:538962,12.7,Low ESG Risk,Auto Components
Modine Manufacturing Co.,NYS:MOD,18.2,Low ESG Risk,Auto Components
Motherson Sumi Wiring India Ltd.,BOM:543498,17.8,Low ESG Risk,Auto Components
"Musashi Seimitsu Industry Co., Ltd.",TKS:7220,15.1,Low ESG Risk,Auto Components
"Nankang Rubber Tire Corp., Ltd.",TAI:2101,16.7,Low ESG Risk,Auto Components
Nemak SAB de CV,MEX:NEMAKA,16.9,Low ESG Risk,Auto Components
NEXEN TIRE Corp.,KRX:002350,12.9,Low ESG Risk,Auto Components
Nexteer Automotive Group Ltd.,HKG:1316,12.9,Low ESG Risk,Auto Components
"NHK Spring Co., Ltd.",TKS:5991,15.6,Low ESG Risk,Auto Components
"Nifco, Inc.",TKS:7988,18.8,Low ESG Risk,Auto Components
"Nihon Tokushu Toryo Co., Ltd.",TKS:4619,17.3,Low ESG Risk,Auto Components
"Niterra Co., Ltd.",TKS:5334,19.6,Low ESG Risk,Auto Components
Nokian Renkaat Oyj,HEL:TYRES,11.6,Low ESG Risk,Auto Components
NSK Ltd.,TKS:6471,16.0,Low ESG Risk,Auto Components
OPmobility SE,PAR:OPM,16.2,Low ESG Risk,Auto Components
"Pacific Industrial Co., Ltd.",TKS:7250,15.0,Low ESG Risk,Auto Components
"PIOLAX, Inc.",TKS:5988,13.4,Low ESG Risk,Auto Components
Polytec Holding AG,WBO:PYT,13.8,Low ESG Risk,Auto Components
Pricol Ltd.,BOM:540293,16.5,Low ESG Risk,Auto Components
Prometeon Tyre Group Srl,-,11.6,Low ESG Risk,Auto Components
PT Astra Otoparts Tbk,JKT:AUTO,18.2,Low ESG Risk,Auto Components
PT Selamat Sempurna Tbk,JKT:SMSM,11.7,Low ESG Risk,Auto Components
PWR Holdings Ltd.,ASX:PWH,17.5,Low ESG Risk,Auto Components
Robert Bosch GmbH,-,14.9,Low ESG Risk,Auto Components
SAF-HOLLAND SE,ETR:SFQ,15.2,Low ESG Risk,Auto Components
Sansera Engineering Ltd.,BOM:543358,14.7,Low ESG Risk,Auto Components
"SEBANG GLOBAL BATTERY Co., Ltd.",KRX:004490,18.4,Low ESG Risk,Auto Components
SL Corp.,KRX:005850,17.5,Low ESG Risk,Auto Components
Sona BLW Precision Forgings Ltd.,BOM:543300,14.3,Low ESG Risk,Auto Components
"Standard Motor Products, Inc.",NYS:SMP,14.6,Low ESG Risk,Auto Components
"Stanley Electric Co., Ltd.",TKS:6923,17.8,Low ESG Risk,Auto Components
"Sumitomo Rubber Industries, Ltd.",TKS:5110,18.0,Low ESG Risk,Auto Components
Sundram Fasteners Ltd.,BOM:500403,18.6,Low ESG Risk,Auto Components
"Superior Industries International, Inc.",NYS:SUP,19.9,Low ESG Risk,Auto Components
Suprajit Engineering Ltd.,BOM:532509,19.1,Low ESG Risk,Auto Components
"Tachi-S Co., Ltd.",TKS:7239,16.6,Low ESG Risk,Auto Components
"The Shyft Group, Inc.",NAS:SHYF,17.4,Low ESG Risk,Auto Components
"The Yokohama Rubber Co., Ltd.",TKS:5101,18.5,Low ESG Risk,Auto Components
Toyo Tire Corp.,TKS:5105,17.2,Low ESG Risk,Auto Components
"Toyoda Gosei Co., Ltd.",TKS:7282,13.8,Low ESG Risk,Auto Components
Toyota Boshoku Corp.,TKS:3116,16.7,Low ESG Risk,Auto Components
Tupy SA,BSP:TUPY3,16.9,Low ESG Risk,Auto Components
"TYC Brother Industrial Co., Ltd.",TAI:1522,19.1,Low ESG Risk,Auto Components
UNO Minda Ltd.,BOM:532539,18.6,Low ESG Risk,Auto Components
VBG Group AB,OME:VBG.B,15.4,Low ESG Risk,Auto Components
Visteon Corp.,NAS:VC,19.5,Low ESG Risk,Auto Components
Vitesco Technologies Group AG,ETR:VTSC,16.6,Low ESG Risk,Auto Components
Yorozu Corp.,TKS:7294,17.9,Low ESG Risk,Auto Components
ZF Commercial Vehicle Control Systems India Ltd.,BOM:533023,15.5,Low ESG Risk,Auto Components
"AIMA Technology Group Co., Ltd.",SHG:603529,13.0,Low ESG Risk,Automobiles
Bajaj Auto Ltd.,BOM:532977,16.0,Low ESG Risk,Automobiles
China Motor Corp.,TAI:2204,18.9,Low ESG Risk,Automobiles
Eicher Motors Ltd.,BOM:505200,13.2,Low ESG Risk,Automobiles
Geely Automobile Holdings Ltd.,HKG:175,15.9,Low ESG Risk,Automobiles
"Harley-Davidson, Inc.",NYS:HOG,13.1,Low ESG Risk,Automobiles
Hero MotoCorp Ltd.,BOM:500182,12.2,Low ESG Risk,Automobiles
Jaguar Land Rover Automotive Plc,-,16.2,Low ESG Risk,Automobiles
"Li Auto, Inc.",HKG:2015,19.5,Low ESG Risk,Automobiles
Mercedes-Benz Group AG,ETR:MBG,17.0,Low ESG Risk,Automobiles
Piaggio & C SpA,MIL:PIA,11.2,Low ESG Risk,Automobiles
PIERER Mobility AG,SWX:PKTM,10.4,Low ESG Risk,Automobiles
Porsche AG,ETR:P911,17.1,Low ESG Risk,Automobiles
"Sanyang Motor Co., Ltd.",TAI:2206,13.8,Low ESG Risk,Automobiles
"Sinotruk Jinan Truck Co., Ltd.",SHE:000951,18.4,Low ESG Risk,Automobiles
Tofas Turk Otomobil Fabrikasi AS,IST:TOASO.E,19.8,Low ESG Risk,Automobiles
TVS Motor Co. Ltd.,BOM:532343,15.4,Low ESG Risk,Automobiles
Volvo Car AB,OME:VOLCAR.B,18.5,Low ESG Risk,Automobiles
Yadea Group Holdings Ltd.,HKG:1585,14.3,Low ESG Risk,Automobiles
"Yamaha Motor Co., Ltd.",TKS:7272,10.8,Low ESG Risk,Automobiles
"Yulon Nissan Motor Co., Ltd.",TAI:2227,19.8,Low ESG Risk,Automobiles
"Zhejiang Leapmotor Technology Co., Ltd.",HKG:9863,14.9,Low ESG Risk,Automobiles
ABANCA Corporación Bancaria SA,-,6.4,Negligible ESG Risk,Banks
Arion Banki HF,ICE:ARION,9.2,Negligible ESG Risk,Banks
Asian Development Bank,-,8.2,Negligible ESG Risk,Banks
Banco de Crédito Social Cooperativo SA,-,10.0,Negligible ESG Risk,Banks
Bayerische Landesbodenkreditanstalt,-,9.5,Negligible ESG Risk,Banks
Berlin Hyp AG,-,5.9,Negligible ESG Risk,Banks
BNG Bank NV,-,9.3,Negligible ESG Risk,Banks
BNP Paribas Bank Polska SA,WAR:BNP,9.8,Negligible ESG Risk,Banks
Caisse des Dépôts & Consignations,-,7.7,Negligible ESG Risk,Banks
Caja Rural de Navarra S.Coop,-,8.8,Negligible ESG Risk,Banks
Cassa Depositi e Prestiti SpA,-,4.5,Negligible ESG Risk,Banks
Council of Europe Development Bank,-,5.6,Negligible ESG Risk,Banks
Eurobank Ergasias Services & Holdings SA,ATH:EUROB,9.0,Negligible ESG Risk,Banks
EUROFIMA European Co for Financing of Railroad Rolling Stock,-,5.0,Negligible ESG Risk,Banks
European Bank for Reconstruction & Development,-,6.9,Negligible ESG Risk,Banks
European Investment Bank,-,4.6,Negligible ESG Risk,Banks
Export Development Canada,-,10.0,Negligible ESG Risk,Banks
Instituto de Crédito Oficial,-,8.6,Negligible ESG Risk,Banks
Inter-American Development Bank,-,7.2,Negligible ESG Risk,Banks
Inter-American Investment Corp.,-,8.6,Negligible ESG Risk,Banks
International Finance Corp.,-,7.8,Negligible ESG Risk,Banks
