,company_name,company_esg_score,company_esg_score_group,industry,stock_exchange,stock_ticker_symbol
3498,RS Group Plc,4.5,Negligible ESG Risk,Technology Hardware,LON,RS1
3486,"Kimball Electronics, Inc.",4.5,Negligible ESG Risk,Technology Hardware,NAS,KE
2100,TAG Immobilien AG,4.6,Negligible ESG Risk,Real Estate,ETR,TEG
2068,LEG Immobilien SE,5.1,Negligible ESG Risk,Real Estate,ETR,LEG
521,"Steelcase, Inc.",5.3,Negligible ESG Risk,Commercial Services,NYS,SCS
497,HNI Corp.,5.4,Negligible ESG Risk,Commercial Services,NYS,HNI
3462,"Avnet, Inc.",5.6,Negligible ESG Risk,Technology Hardware,NAS,AVT
480,ACCO Brands Corp.,5.7,Negligible ESG Risk,Commercial Services,NYS,ACCO
2020,Branicks Group AG,5.8,Negligible ESG Risk,Real Estate,ETR,BRNK
2108,Vonovia SE,6.0,Negligible ESG Risk,Real Estate,ETR,VNA
490,"Dai Nippon Printing Co., Ltd.",6.1,Negligible ESG Risk,Commercial Services,TKS,7912
3485,"Keysight Technologies, Inc.",6.2,Negligible ESG Risk,Technology Hardware,NYS,KEYS
2092,SEGRO PLC,6.2,Negligible ESG Risk,Real Estate,LON,SGRO
2027,"CBRE Group, Inc.",6.3,Negligible ESG Risk,Real Estate,NYS,CBRE
484,Brady Corp.,6.4,Negligible ESG Risk,Commercial Services,NYS,BRC
2082,"Paramount Group, Inc.",6.4,Negligible ESG Risk,Real Estate,NYS,PGRE
1686,Pearson Plc,6.7,Negligible ESG Risk,Media,LON,PSON
2103,Tritax Big Box REIT Plc,6.8,Negligible ESG Risk,Real Estate,LON,BBOX
1688,RELX Plc,7.0,Negligible ESG Risk,Media,LON,REL
3113,TeamViewer SE,7.0,Negligible ESG Risk,Software & Services,ETR,TMV
3465,"Benchmark Electronics, Inc.",7.1,Negligible ESG Risk,Technology Hardware,NYS,BHE
3496,Plexus Corp.,7.2,Negligible ESG Risk,Technology Hardware,NAS,PLXS
2053,Great Portland Estates Plc,7.3,Negligible ESG Risk,Real Estate,LON,GPE
707,"Hasbro, Inc.",7.3,Negligible ESG Risk,Consumer Durables,NAS,HAS
820,"Chegg, Inc.",7.4,Negligible ESG Risk,Consumer Services,NYS,CHGG
2062,"Jones Lang LaSalle, Inc.",7.4,Negligible ESG Risk,Real Estate,NYS,JLL
2067,Land Securities Group Plc,7.4,Negligible ESG Risk,Real Estate,LON,LAND
3507,Universal Display Corp.,7.4,Negligible ESG Risk,Technology Hardware,NAS,OLED
3466,CDW Corp.,7.5,Negligible ESG Risk,Technology Hardware,NAS,CDW
